sent 1024 bytes to 10.100.120.6:8080 time 0.1665
sent 8192 bytes to 10.100.120.6:8080 time 0.1496
sent 65536 bytes to 10.100.120.6:8080 time 0.3567
sent 524288 bytes to 10.100.120.6:8080 time 1.1822
sent 4194304 bytes to 10.100.120.6:8080 time 8.1020
sent 33554432 bytes to 10.100.120.6:8080 time 51.4423
sent 268435456 bytes to 10.100.120.6:8080 time 397.8216
sent 1024 bytes to 10.100.120.6:8080 time 0.1459
sent 8192 bytes to 10.100.120.6:8080 time 0.2052
sent 65536 bytes to 10.100.120.6:8080 time 0.2967
sent 524288 bytes to 10.100.120.6:8080 time 1.1443
sent 4194304 bytes to 10.100.120.6:8080 time 7.8845
sent 33554432 bytes to 10.100.120.6:8080 time 52.1682
sent 268435456 bytes to 10.100.120.6:8080 time 395.6619
sent 1024 bytes to 10.100.120.6:8080 time 0.1868
sent 8192 bytes to 10.100.120.6:8080 time 0.1124
sent 65536 bytes to 10.100.120.6:8080 time 0.2353
sent 524288 bytes to 10.100.120.6:8080 time 1.0579
sent 4194304 bytes to 10.100.120.6:8080 time 7.8056
sent 33554432 bytes to 10.100.120.6:8080 time 52.1502
sent 268435456 bytes to 10.100.120.6:8080 time 392.4862
sent 1024 bytes to 10.100.120.6:8080 time 0.2053
sent 8192 bytes to 10.100.120.6:8080 time 0.2175
sent 65536 bytes to 10.100.120.6:8080 time 0.2716
sent 524288 bytes to 10.100.120.6:8080 time 1.1526
sent 4194304 bytes to 10.100.120.6:8080 time 8.2195
sent 33554432 bytes to 10.100.120.6:8080 time 54.1129
sent 268435456 bytes to 10.100.120.6:8080 time 404.6593
sent 1024 bytes to 10.100.120.6:8080 time 0.2199
sent 8192 bytes to 10.100.120.6:8080 time 0.1757
sent 65536 bytes to 10.100.120.6:8080 time 0.3277
sent 524288 bytes to 10.100.120.6:8080 time 1.1271
sent 4194304 bytes to 10.100.120.6:8080 time 7.9032
sent 33554432 bytes to 10.100.120.6:8080 time 55.1299
sent 268435456 bytes to 10.100.120.6:8080 time 397.8907
sent 1024 bytes to 10.100.120.6:8080 time 0.2015
sent 8192 bytes to 10.100.120.6:8080 time 0.2014
sent 65536 bytes to 10.100.120.6:8080 time 0.3056
sent 524288 bytes to 10.100.120.6:8080 time 1.1404
sent 4194304 bytes to 10.100.120.6:8080 time 8.0135
sent 33554432 bytes to 10.100.120.6:8080 time 54.6050
sent 268435456 bytes to 10.100.120.6:8080 time 437.5694
sent 1024 bytes to 10.100.120.6:8080 time 0.1330
sent 8192 bytes to 10.100.120.6:8080 time 0.2195
sent 65536 bytes to 10.100.120.6:8080 time 0.2545
sent 524288 bytes to 10.100.120.6:8080 time 1.0091
sent 4194304 bytes to 10.100.120.6:8080 time 7.8693
sent 33554432 bytes to 10.100.120.6:8080 time 52.5132
sent 268435456 bytes to 10.100.120.6:8080 time 403.9605
sent 1024 bytes to 10.100.120.6:8080 time 0.1548
sent 8192 bytes to 10.100.120.6:8080 time 0.1993
sent 65536 bytes to 10.100.120.6:8080 time 0.2202
sent 524288 bytes to 10.100.120.6:8080 time 1.1304
sent 4194304 bytes to 10.100.120.6:8080 time 7.8605
sent 33554432 bytes to 10.100.120.6:8080 time 52.2000
sent 268435456 bytes to 10.100.120.6:8080 time 396.6563
sent 1024 bytes to 10.100.120.6:8080 time 0.1785
sent 8192 bytes to 10.100.120.6:8080 time 0.1918
sent 65536 bytes to 10.100.120.6:8080 time 0.2908
sent 524288 bytes to 10.100.120.6:8080 time 1.0842
sent 4194304 bytes to 10.100.120.6:8080 time 7.9773
sent 33554432 bytes to 10.100.120.6:8080 time 52.0826
sent 268435456 bytes to 10.100.120.6:8080 time 396.3832
sent 1024 bytes to 10.100.120.6:8080 time 0.1657
sent 8192 bytes to 10.100.120.6:8080 time 0.1544
sent 65536 bytes to 10.100.120.6:8080 time 0.2409
sent 524288 bytes to 10.100.120.6:8080 time 1.1152
sent 4194304 bytes to 10.100.120.6:8080 time 7.8616
sent 33554432 bytes to 10.100.120.6:8080 time 52.1482
sent 268435456 bytes to 10.100.120.6:8080 time 394.9983
